id,loc1,loc2,lat,lon,h,code
47838,牛深,熊本県,32.196666666666665,130.02666666666667,3.0,86491
47843,福江,長崎県,32.693333333333335,128.82666666666665,25.1,84536
47887,松山,愛媛県,33.843333333333334,132.77666666666667,32.2,73166
47890,多度津,香川県,34.275,133.7516666666667,3.7,72111
47891,高松,香川県,34.31666666666667,134.05333333333334,8.7,72086
47892,宇和島,愛媛県,33.22666666666667,132.55166666666668,2.4,73442
47893,高知,高知県,33.56666666666667,133.54833333333335,0.5,74181
47895,徳島,徳島県,34.06666666666667,134.57333333333332,1.6,71106
47897,宿毛,高知県,32.92,132.695,2.2,74447
47898,清水,高知県,32.721666666666664,133.01,31.0,74516
47899,室戸岬,高知県,33.251666666666665,134.17666666666668,185.0,74372
47909,名瀬,鹿児島県,28.37833333333333,129.495,2.8,88836
47912,与那国島,沖縄県,24.466666666666665,123.01,30.0,94017
47917,西表島,沖縄県,24.426666666666662,123.765,9.9,94062
47918,石垣島,沖縄県,24.336666666666662,124.16333333333333,5.7,94081
47927,宮古島,沖縄県,24.793333333333333,125.27833333333334,39.9,93041
47929,久米島,沖縄県,26.336666666666662,126.80333333333331,5.0,91146
47936,那覇,沖縄県,26.206666666666667,127.68666666666668,28.1,91197
47940,名護,沖縄県,26.593333333333334,127.965,6.1,91107
47942,沖永良部,鹿児島県,27.431666666666665,128.705,26.8,88971
47945,南大東,沖縄県,25.828333333333333,131.22833333333332,15.3,92011
47971,父島,東京都,27.091666666666665,142.19,2.7,44301
47991,南鳥島,東京都,24.28833333333333,153.98333333333332,7.1,44356

