id,loc1,loc2,lat,lon,h,code
00547,魚津,富山県,36.821666666666665,137.42833333333334,48.0,55056
00552,砺波,富山県,36.61,136.955,69.0,55141
00553,上市,富山県,36.67,137.42333333333335,296.0,55166
00554,南砺高宮,富山県,36.545,136.87166666666667,91.0,55191
00555,八尾,富山県,36.57833333333333,137.13166666666666,78.0,55206
00560,珠洲,石川県,37.446666666666665,137.28666666666666,4.0,56036
00562,門前,石川県,37.26166666666666,136.72833333333332,11.0,56081
00564,志賀,石川県,37.14333333333333,136.725,6.0,56116
00565,七尾,石川県,37.03,136.99166666666667,58.0,56146
00566,羽咋,石川県,36.89333333333333,136.77666666666667,15.0,56176
00567,かほく,石川県,36.711666666666666,136.69166666666666,42.0,56186
00570,医王山,石川県,36.52,136.745,420.0,56232
00571,加賀菅谷,石川県,36.23,136.36166666666668,83.0,56301
00573,大野,福井県,35.971666666666664,136.49666666666667,182.0,57121
00577,今庄,福井県,35.766666666666666,136.2,128.0,57206
00579,小浜,福井県,35.483333333333334,135.78166666666667,10.0,57317
00580,今津,滋賀県,35.41166666666667,136.02833333333334,88.0,60051
00584,近江八幡,滋賀県,35.126666666666665,136.09166666666667,90.0,60161
00586,大津,滋賀県,34.99166666666667,135.91166666666666,86.0,60216
00587,土山,滋賀県,34.93833333333333,136.27833333333334,248.0,60236
00588,峰山,京都府,35.61833333333333,135.07166666666666,23.0,61031
00589,宮津,京都府,35.55,135.235,2.0,61076
00593,福知山,京都府,35.31166666666667,135.11333333333334,17.0,61187
00596,園部,京都府,35.108333333333334,135.455,134.0,61242
00598,京田辺,京都府,34.83,135.76,20.0,61326
00600,能勢,大阪府,34.94833333333333,135.455,235.0,62016
00602,豊中,大阪府,34.78333333333333,135.43833333333333,12.0,62051
00604,生駒山,大阪府,34.675,135.67666666666668,626.0,62081
00605,河内長野,大阪府,34.42333333333333,135.54333333333332,160.0,62111
00606,熊取,大阪府,34.385,135.35,68.0,62131
00607,香住,兵庫県,35.625,134.6266666666667,5.0,63016
00608,温泉,兵庫県,35.528333333333336,134.48,233.0,63032
00611,八鹿,兵庫県,35.39833333333333,134.74,183.0,63116
00612,和田山,兵庫県,35.32333333333333,134.84833333333333,80.0,63121
00613,生野,兵庫県,35.166666666666664,134.79166666666666,320.0,63201
00614,柏原,兵庫県,35.13666666666666,135.065,98.0,63216
00615,一宮,兵庫県,35.096666666666664,134.585,195.0,63251
00617,佐用,兵庫県,35.016666666666666,134.36833333333334,120.0,63241
00618,後川,兵庫県,35.025,135.29333333333332,330.0,63346
00619,上郡,兵庫県,34.858333333333334,134.3733333333333,20.0,63366
00624,家島,兵庫県,34.67166666666667,134.52666666666667,88.0,63491
00625,明石,兵庫県,34.68666666666667,134.8766666666667,3.0,63496
00630,針,奈良県,34.605,135.95166666666665,468.0,64041
00631,田原本,奈良県,34.555,135.785,50.0,64056
00632,曽爾,奈良県,34.52166666666667,136.15833333333333,610.0,64076
00633,大宇陀,奈良県,34.48833333333334,135.93166666666667,349.0,64101
00635,五條,奈良県,34.38,135.73,190.0,64127
00641,玉置山,奈良県,33.92666666666667,135.83,1077.0,64261
00642,葛城山,和歌山県,34.346666666666664,135.43666666666667,840.0,65021
00645,高野山,和歌山県,34.221666666666664,135.59,795.0,65061
00646,護摩壇山,和歌山県,34.04,135.56666666666666,1130.0,65127
00649,新宮,和歌山県,33.68666666666667,135.97,18.0,65276
00651,日置川,和歌山県,33.605,135.48,17.0,65321
00655,今岡,岡山県,35.098333333333336,134.325,207.0,66136
00656,久世,岡山県,35.068333333333335,133.75333333333333,144.0,66171
00658,新見,岡山県,34.943333333333335,133.51833333333337,393.0,66221
00660,赤磐,岡山県,34.91833333333334,134.08166666666668,56.0,66251
00661,陣山,岡山県,34.82833333333333,133.52333333333334,529.0,66276
00663,福渡,岡山県,34.86666666666667,133.90333333333334,63.0,66296
00664,和気,岡山県,34.815,134.18333333333334,35.0,66306
00665,佐屋,岡山県,34.685,133.445,390.0,66381
00666,矢掛,岡山県,34.61666666666667,133.61833333333334,18.0,66391
00668,虫明,岡山県,34.681666666666665,134.20666666666668,10.0,66421
00669,倉敷,岡山県,34.59,133.76833333333337,3.0,66446
00670,玉野,岡山県,34.486666666666665,133.95,2.0,66501
00671,道後山,広島県,35.056666666666665,133.18833333333333,729.0,67026
00674,三次,広島県,34.81166666666667,132.85,159.0,67106
00675,庄原,広島県,34.86,133.02333333333334,300.0,67116
00676,大朝,広島県,34.76833333333333,132.46333333333334,399.0,67151
00677,加計,広島県,34.61,132.32,210.0,67212
00679,上下,広島県,34.693333333333335,133.11666666666667,384.0,67251
00680,内黒山,広島県,34.596666666666664,132.17666666666668,987.0,67271
00681,世羅,広島県,34.583333333333336,133.05,350.0,67316
00683,東広島,広島県,34.416666666666664,132.7,224.0,67376
00686,竹原,広島県,34.33,132.98166666666663,5.0,67461
00687,生口島,広島県,34.278333333333336,133.1233333333333,3.0,67471
00688,大竹,広島県,34.221666666666664,132.22,1.0,67496
00690,倉橋,広島県,34.09166666666667,132.48833333333334,3.0,67566
00693,鹿島,島根県,35.52,133.02166666666668,5.0,68091
00694,斐川,島根県,35.413333333333334,132.89,2.0,68121
00696,大東,島根県,35.318333333333335,132.965,56.0,68166
00697,大田,島根県,35.19,132.49666666666667,30.0,68246
00698,掛合,島根県,35.196666666666665,132.815,215.0,68261
00699,横田,島根県,35.17333333333333,133.10333333333332,369.0,68276
00701,川本,島根県,34.97666666666667,132.49166666666667,132.0,68351
00703,三隅,島根県,34.788333333333334,131.95833333333334,11.0,68421
00704,益田,島根県,34.67666666666667,131.84333333333333,4.0,68462
00707,津和野,島根県,34.461666666666666,131.77,165.0,68516
00709,青谷,鳥取県,35.52,133.99666666666667,13.0,69041
00711,岩井,鳥取県,35.55833333333333,134.36,19.0,69061
00713,倉吉,鳥取県,35.473333333333336,133.83833333333334,8.0,69101
